Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

12:35:47 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:44:10 AM     all     23.28      0.00     11.11      0.00      0.00     65.61
12:44:12 AM     all     20.63      0.00     11.11      0.00      0.00     68.25
12:44:14 AM     all     26.18      0.00      8.90      0.00      0.00     64.92
12:44:16 AM     all     21.88      0.00     11.46      0.00      0.00     66.67
12:44:18 AM     all     25.00      0.00     10.94      0.00      0.00     64.06
12:44:20 AM     all     22.40      0.00     10.94      0.00      0.00     66.67
12:44:22 AM     all     24.75      0.00     11.62      0.00      0.00     63.64
12:44:24 AM     all     22.16      0.00     11.86      0.00      0.00     65.98
12:44:26 AM     all     25.26      0.00     13.92      0.00      0.00     60.82
12:44:28 AM     all     23.83      0.00      9.84      0.00      0.00     66.32
12:44:30 AM     all     25.91      0.00     10.36      0.00      0.00     63.73
12:44:32 AM     all     23.20      0.00      9.28      0.00      0.00     67.53
12:44:34 AM     all     24.37      0.00      9.14      0.51      0.00     65.99
12:44:36 AM     all     25.00      0.00      9.69      0.00      0.00     65.31
12:44:38 AM     all     21.83      0.00     11.17      0.00      0.00     67.01
12:44:40 AM     all     22.05      0.00      7.69      0.00      0.00     70.26
12:44:42 AM     all     21.69      0.00      8.47      0.00      0.00     69.84
12:44:44 AM     all     20.00      0.00     11.28      0.00      0.00     68.72
12:44:46 AM     all     18.97      0.00     12.31      0.00      0.00     68.72
12:44:48 AM     all     22.96      0.00     10.71      0.00      0.00     66.33
12:44:50 AM     all     21.35      0.00      8.85      0.00      0.00     69.79


12:44:51 AM     all      9.94      0.00      2.34      2.34      0.00     85.38
Average:        all     24.29      0.00     11.12      0.04      0.00     64.54
